1 1:1 2:1 3:1 4:-4.44675 5:1.44757 6:107.311 7:-1 8:-1 
1 1:1 2:1 3:0 4:-0.258148 5:1.76763 6:109.078 7:-1 8:-1 
1 1:1 2:0 3:0 4:1.04249 5:2.26043 6:106.818 7:-1 8:-1 
1 1:0 2:2 3:2 4:1.02396 5:0.0433044 6:106.861 7:-1 8:-1 
1 1:1 2:0 3:2 4:-0.315293 5:0.167732 6:106.694 7:-1 8:-1 
1 1:1.41421 2:2 3:0 4:-0.533306 5:1.60156 6:105.092 7:-1 8:-1 
1 1:1 2:0 3:0 4:0.0979795 5:0.167969 6:105.26 7:-1 8:-1 
1 1:0 2:0 3:0 4:-0.0650063 5:0.0885391 6:105.171 7:-1 8:-1 
1 1:0 2:0 3:0 4:0.0375843 5:0.0690079 6:105.24 7:-1 8:-1 
1 1:0 2:0 3:0 4:0.0684586 5:0.0386276 6:105.202 7:-1 8:-1 
1 1:1 2:0 3:0 4:0.564822 5:0.0668411 6:105.135 7:-1 8:-1 
1 1:0 2:0 3:0 4:0.0303173 5:0.098526 6:105.234 7:-1 8:-1 
1 1:0 2:1 3:1 4:0.0465765 5:0.0993958 6:105.333 7:-1 8:-1 
1 1:0 2:0 3:1 4:-0.0200243 5:0.0338516 6:105.367 7:-1 8:-1 
1 1:0 2:1 3:0 4:-0.714185 5:1.88814 6:107.255 7:-1 8:-1 
1 1:2.23607 2:1 3:1 4:-2.0432 5:5.35948 6:101.895 7:-1 8:-1 
1 1:1 2:1 3:0 4:1.47508 5:1.41579 6:103.311 7:-1 8:-1 
1 1:2.82843 2:0 3:0 4:-2.3138 5:2.4603 6:100.851 7:-1 8:-1 
1 1:2.23607 2:0 3:0 4:-0.315669 5:3.47481 6:97.3761 7:-1 8:-1 
1 1:2.23607 2:0 3:0 4:-4.4709 5:3.16077 6:94.2153 7:-1 8:-1 
1 1:2.23607 2:1 3:1 4:-3.4804 5:0.180603 6:94.0347 7:-1 8:-1 
1 1:2.23607 2:1 3:0 4:-7.4217 5:0.503906 6:93.5308 7:-1 8:-1 
1 1:7.07107 2:0 3:0 4:-12.9653 5:4.0421 6:97.5729 7:-1 8:-1 
1 1:2 2:0 3:0 4:-3.20745 5:2.38976 6:99.9627 7:-1 8:-1 
1 1:3.16228 2:0 3:0 4:-39.7464 5:5.73438 6:105.697 7:-1 8:-1 
1 1:0 2:0 3:0 4:-4.08937 5:1.9553 6:103.742 7:-1 8:-1 
1 1:0 2:0 3:0 4:3.29301 5:1.84592 6:101.896 7:-1 8:-1 
1 1:0 2:0 3:0 4:6.03531 5:4.22527 6:97.6706 7:-1 8:-1 
1 1:1.41421 2:0 3:0 4:6.07752 5:5.9796 6:91.691 7:-1 8:-1 
1 1:0 2:0 3:0 4:-1.58113 5:1.33376 6:90.3572 7:-1 8:-1 
1 1:0 2:0 3:0 4:0.804234 5:0.841148 6:89.5161 7:-1 8:-1 
